                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     16,                 2.0349,                 2.3643,                 2.5924,                0.34465,                0.39445,                0.25972,                0.09794,                 2.0676,                 2.5369,                 2.6979,               0.001406,               0.001406,               0.001406
                     17,                 1.9883,                 2.2888,                 2.5415,                0.35414,                0.39928,                 0.2958,                0.12693,                 1.9841,                 2.4719,                 2.6329,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.9238,                 2.2753,                 2.4724,                0.39029,                0.32811,                0.30192,                0.12528,                 2.0047,                 2.4121,                 2.6532,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.8897,                 2.1914,                 2.4105,                0.34677,                0.36791,                0.27648,                0.10075,                  2.049,                 2.5175,                 2.6429,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.8315,                 2.1216,                 2.3972,                 0.4471,                 0.4029,                0.35217,                0.14122,                 1.9056,                 2.3003,                 2.5352,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.8617,                 2.1472,                 2.4218,                0.40985,                0.40772,                0.34552,                0.14825,                 1.8292,                 2.1918,                 2.5038,               0.001208,               0.001208,               0.001208
                     22,                 1.8218,                 2.0938,                 2.3559,                 0.4983,                0.47924,                0.42281,                0.17798,                 1.7272,                 2.0528,                 2.3774,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.7793,                 2.0376,                 2.3099,                 0.5332,                0.45838,                 0.4435,                0.19007,                 1.7842,                 1.9907,                 2.4224,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.7603,                 1.9916,                 2.2893,                0.53067,                0.48854,                0.45878,                 0.2039,                 1.7312,                 2.0462,                 2.3553,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.7564,                 1.9868,                 2.2975,                0.54053,                0.50422,                0.47285,                0.21743,                 1.6571,                  1.872,                 2.3062,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.7312,                 1.9543,                 2.2716,                0.53201,                0.45476,                0.47474,                0.23682,                 1.6998,                 1.9121,                 2.3411,                0.00101,                0.00101,                0.00101
                     27,                  1.729,                 1.9367,                 2.2521,                0.58448,                0.51749,                0.53396,                0.25768,                 1.6562,                 1.8055,                 2.2739,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.6654,                 1.8842,                 2.2238,                0.57755,                 0.4813,                0.50838,                0.25723,                 1.6532,                 1.8137,                 2.2766,              0.0009308,              0.0009308,              0.0009308
                     29,                  1.645,                 1.8379,                 2.1948,                0.56526,                0.52352,                0.51426,                0.25085,                 1.6817,                 1.8465,                 2.3045,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.6286,                 1.8521,                 2.1841,                0.54478,                0.53317,                0.54892,                0.28635,                 1.5704,                 1.7445,                 2.1956,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.6189,                 1.8442,                 2.1644,                0.60351,                0.55006,                0.55262,                0.27424,                 1.6377,                 1.7905,                 2.2546,               0.000812,               0.000812,               0.000812
                     32,                 1.5913,                 1.7804,                 2.1361,                0.65997,                0.50302,                0.57928,                0.31459,                 1.5467,                 1.6758,                 2.1793,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.6112,                 1.7792,                 2.1446,                0.65752,                0.54885,                 0.5812,                0.31328,                 1.5179,                 1.6975,                 2.1568,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.5599,                 1.7507,                 2.0993,                0.64751,                0.55006,                0.57262,                0.31243,                 1.4997,                 1.6761,                 2.1373,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.5643,                 1.7331,                 2.1023,                0.68261,                0.57594,                0.61551,                0.33673,                 1.4823,                  1.625,                 2.1271,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.5201,                  1.687,                 2.0681,                0.68744,                0.53679,                0.61643,                0.34505,                 1.4484,                 1.5719,                 2.0789,               0.000614,               0.000614,               0.000614
                     37,                 1.5375,                 1.6976,                 2.0791,                0.68251,                0.55127,                0.62033,                0.35315,                 1.4304,                  1.583,                 2.0699,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.5288,                 1.6833,                 2.0744,                0.71932,                0.56574,                0.63838,                0.36856,                 1.4413,                 1.5682,                 2.0628,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.4829,                 1.6773,                 2.0539,                0.67086,                0.57177,                0.62764,                0.37572,                   1.42,                 1.5412,                 2.0527,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.4672,                  1.827,                 2.1147,                0.65407,                 0.5702,                0.59853,                0.35177,                 1.4434,                 1.6258,                 2.0864,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.4534,                 1.6853,                 2.0911,                0.71273,                0.58625,                0.64149,                0.36559,                 1.4081,                 1.6314,                 2.0231,               0.000416,               0.000416,               0.000416
                     42,                  1.423,                 1.6018,                 2.0687,                0.71772,                 0.5778,                0.64639,                0.36995,                 1.4325,                 1.5515,                 2.0281,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.4262,                 1.6209,                 2.0992,                0.67461,                0.57019,                0.62028,                 0.3544,                 1.3967,                 1.5471,                 2.0184,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.3839,                 1.5813,                 2.0029,                0.73826,                 0.5959,                0.69053,                0.41594,                 1.3546,                  1.433,                 1.9589,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.3541,                 1.5391,                 1.9673,                0.71027,                0.60325,                0.67493,                0.40124,                 1.3932,                 1.4628,                  2.004,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.3567,                 1.4954,                 1.9767,                0.73711,                0.62002,                0.70157,                 0.4334,                 1.3024,                 1.3918,                 1.9104,               0.000218,               0.000218,               0.000218
                     47,                 1.3283,                 1.5134,                 1.9709,                0.73833,                0.59831,                0.68887,                0.41947,                 1.3368,                  1.409,                   1.94,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.3392,                 1.4933,                 1.9767,                0.73382,                0.60676,                0.69311,                0.42629,                 1.3486,                 1.3909,                 1.9297,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.3257,                  1.481,                 1.9616,                 0.7466,                0.62002,                0.71553,                0.45552,                 1.2695,                 1.3417,                 1.8768,               9.92e-05,               9.92e-05,               9.92e-05
